uniqueid,Start time,Completion time,My sleep is affected by my study commitments,I achieve good quality sleep,My electronic device usage negatively affects my sleep,Tiredness interferes with my concentration,"My sleep is disturbed by external factors e.g. loud cars, housemates, lights, children...",I often achieve eight hours of sleep,I regularly stay up past 11pm
8560dbdc32,2020-11-26T09:22:37Z,2020-11-26T09:24:18Z,Strongly disagree,Somewhat agree,Somewhat disagree,Agree,Somewhat disagree,Disagree,Strongly agree
c51881d0ab,2020-11-27T14:17:29Z,2020-11-27T14:18:39Z,Strongly agree,Strongly disagree,Somewhat agree,Agree,Somewhat agree,Strongly disagree,Strongly agree
dbb832691b,2020-11-27T11:11:04Z,2020-11-27T11:13:16Z,Strongly disagree,Strongly agree,Disagree,Somewhat agree,Somewhat disagree,Strongly agree,Agree
ccba950bd7,2020-11-26T14:18:07Z,2020-11-26T14:19:49Z,Strongly agree,Somewhat disagree,Neither agree nor disagree,Agree,Disagree,Strongly disagree,Neither agree nor disagree
a4614d86ae,2020-11-26T11:10:37Z,2020-11-26T11:11:21Z,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree,Somewhat disagree,Strongly agree
b928cfeeb0,2020-11-26T14:21:21Z,2020-11-26T14:22:49Z,Agree,Somewhat agree,Agree,Agree,Disagree,Somewhat agree,Strongly agree
b1f61d8295,2020-11-27T09:21:10Z,2020-11-27T09:22:13Z,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree
5617e7dd7b,2020-11-27T09:20:52Z,2020-11-27T09:21:53Z,Agree,Strongly disagree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree
28f2b28f2f,2020-11-27T09:16:07Z,2020-11-27T09:17:20Z,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Disagree,Strongly agree
d857a1a885,2020-11-26T09:22:41Z,2020-11-26T09:24:13Z,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Agree
f00c5ca58c,2020-11-26T10:25:40Z,2020-11-26T10:26:14Z,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree
2722e61e84,2020-11-26T14:15:43Z,2020-11-26T14:19:17Z,Somewhat agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree
4f849bdcaa,2020-11-26T11:13:53Z,2020-11-26T11:14:57Z,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Strongly agree
809b462b55,2020-11-26T14:14:40Z,2020-11-26T14:15:44Z,Disagree,Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Disagree,Disagree
204ba22692,2020-11-26T11:08:44Z,2020-11-26T11:09:39Z,Agree,Disagree,Agree,Agree,Disagree,Somewhat agree,Strongly agree
